mz,id,ion,example,formula
844.71589,plasmenyl-PE 44:0,[M+H]+,PE(P-20:0/24:0),C49H98NO7P
844.72415,MGDG 41:1,[M+NH4-CO]+,MGDG(18:1(17Z)/23:0),C50H94O10
844.73897,TG 50:4,[M+NH4]+,TG(16:1/16:1/18:2),C53H94O6
845.5073,PA 44:8,[M+Na2-H]+,"GPA(24:4(5Z,8Z,11Z,14Z)/20:4(7E,10E,13E,16E))",C47H77O8P
845.51797,MGDG 40:10,[M+Na]+,"MGDG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:4(9E,11E,13E,15E))",C49H74O10
845.52383,DGDG 27:0,[M+Na]+,DGDG(4:0/23:0),C42H78O15
845.60124,PA 43:1,[M+Na2-H]+,GPA(18:1(9Z)/25:0),C46H89O8P
845.6036,PA 45:4,[M+Na]+,"GPA(20:4(5E,8E,11E,14E)/25:0)",C48H87O8P
845.61187,MGDG 39:3,[M+Na]+,"MGDG(22:2(13Z,16Z)/17:1(9Z))",C48H86O10
845.65126,SM 43:4,[M-H+Na]+,"SM(d19:0/24:4(5Z,8Z,11Z,14Z))",C48H92N2O6P
845.72061,TG 51:5,[M+Li]+,TG(16:0/17:2/18:3),C54H94O6
845.74756,SM 44:0,[M]+,SM(d18:0/26:0),C49H102N2O6P
846.52609,PS 39:5,[M+Na]+,"GPSer(20:5(5Z,8Z,11Z,14Z,17Z)/19:0)",C45H78NO10P
846.5989,PC 39:4,[M+Na]+,"GPCho(19:0/20:4(5Z,8Z,11Z,14Z))",C47H86NO8P
846.5989,PE 42:4,[M+Na]+,"GPEtn(20:2(11Z,14Z)/22:2(13Z,16Z))",C47H86NO8P
846.60126,PE 44:7,[M+H]+,"GPEtn(20:3(5Z,8Z,11Z)/24:4(5Z,8Z,11Z,14Z))",C49H84NO8P
846.6095,MGDG 40:7,[M+NH4]+,"MGDG(20:3(5Z,8Z,11Z)/20:4(7E,10E,13E,16E))",C49H80O10
846.62238,PS 40:1,[M+H]+,GPSer(18:1(13Z)/22:0),C46H88NO10P
846.63528,plasmenyl-PC 40:3,[M+Na]+,"PC(P-20:0/20:3(8Z,11Z,14Z))",C48H90NO7P
846.63764,plasmenyl-PC 42:6,[M+H]+,"PC(P-20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C50H88NO7P
846.6459,MGDG 42:7,[M+NH4-CO]+,"MGDG(20:1(13Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C51H84O10
846.6952,PC 40:0,[M+H]+,GPCho(15:0/25:0),C48H96NO8P
846.6952,PE 43:0,[M+H]+,GPEtn(26:0/17:0),C48H96NO8P
846.70344,MGDG 39:0,[M+NH4]+,MGDG(14:0/25:0),C48H92O10
846.73985,MGDG 41:0,[M+NH4-CO]+,MGDG(17:0/24:0),C50H96O10
846.75461,TG 50:3,[M+NH4]+,TG(16:1/17:0/17:2),C53H96O6
847.44557,DGDG 28:6,[M+Na]+,"DGDG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/6:0)",C43H68O15
847.52299,PA 44:7,[M+Na2-H]+,"GPA(24:4(5Z,8Z,11Z,14Z)/20:3(5Z,8Z,11Z))",C47H79O8P
847.52535,PA 46:10,[M+Na]+,"GPA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/24:4(5Z,8Z,11Z,14Z))",C49H77O8P
847.53357,MGDG 40:9,[M+Na]+,"MGDG(22:5(4Z,7Z,10Z,13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",C49H76O10
847.61686,PA 43:0,[M+Na2-H]+,GPA(17:0/26:0),C46H91O8P
847.61929,PA 45:3,[M+Na]+,"GPA(25:0/20:3(5Z,8Z,11Z))",C48H89O8P
847.62753,MGDG 39:2,[M+Na]+,"MGDG(26:2(5Z,9Z)/13:0)",C48H88O10
847.67873,TG 50:5,[M+Na]+,TG(16:1/16:1/18:3),C53H92O6
847.73625,TG 51:4,[M+Li]+,TG(16:1/17:1/18:2),C54H96O6
847.77261,DG 52:4,[M+Li]+,DG(26:2/26:2/0:0),C55H100O5
848.52065,PC 40:10,[M+Na]+,"GPCho(18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C48H76NO8P
848.54177,PS 39:4,[M+Na]+,"GPSer(19:0/20:4(5Z,8Z,11Z,14Z))",C45H80NO10P
848.61453,PC 39:3,[M+Na]+,"GPCho(20:3(5Z,8Z,11Z)/19:0)",C47H88NO8P
848.61453,PE 42:3,[M+Na]+,"GPEtn(20:1(11E)/22:2(13Z,16Z))",C47H88NO8P
848.61695,PC 41:6,[M+H]+,"GPCho(24:4(5Z,8Z,11Z,14Z)/17:2(9Z,12Z))",C49H86NO8P
848.61695,PE 44:6,[M+H]+,"GPEtn(26:2(5Z,9Z)/18:4(9E,11E,13E,15E))",C49H86NO8P
848.62517,MGDG 40:6,[M+NH4]+,"MGDG(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(13Z))",C49H82O10
848.63807,PS 40:0,[M+H]+,GPSer(23:0/17:0),C46H90NO10P
848.6509,plasmenyl-PC 40:2,[M+Na]+,"PC(P-18:0/22:2(13Z,16Z))",C48H92NO7P
848.65333,plasmenyl-PC 42:5,[M+H]+,"PC(P-20:0/22:5(7Z,10Z,13Z,16Z,19Z))",C50H90NO7P
848.66155,MGDG 42:6,[M+NH4-CO]+,"MGDG(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z))",C51H86O10
848.77025,TG 50:2,[M+NH4]+,TG(16:0/16:0/18:2),C53H98O6
848.80661,DG 51:2,[M+NH4]+,DG(26:2/25:0/0:0),C54H102O5
849.46127,DGDG 28:5,[M+Na]+,"DGDG(8:0/20:5(5Z,8Z,11Z,14Z,17Z))",C43H70O15
849.53861,PA 44:6,[M+Na2-H]+,"GPA(18:4(6Z,9Z,12Z,15Z)/26:2(5Z,9E))",C47H81O8P
849.54104,PA 46:9,[M+Na]+,"GPA(22:5(4Z,7Z,10Z,13Z,16Z)/24:4(5Z,8Z,11Z,14Z))",C49H79O8P
849.54927,MGDG 40:8,[M+Na]+,"MGDG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))",C49H78O10
849.63491,PA 45:2,[M+Na]+,"GPA(25:0/20:2(5Z,8Z))",C48H91O8P
849.64317,MGDG 39:1,[M+Na]+,MGDG(26:1(5Z)/13:0),C48H90O10
849.68257,SM 43:2,[M-H+Na]+,SM(d17:1(4E)/26:1(17Z)),C48H96N2O6P
849.69437,TG 50:4,[M+Na]+,TG(16:1/17:1/17:2),C53H94O6
849.75189,TG 51:3,[M+Li]+,TG(17:0/17:1/17:2),C54H98O6
849.78825,DG 52:3,[M+Li]+,DG(26:2/26:1/0:0),C55H102O5
850.46352,PS 40:10,[M+Na]+,"GPSer(18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C46H70NO10P
850.53628,PC 40:9,[M+Na]+,"GPCho(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))",C48H78NO8P
850.5574,PS 39:3,[M+Na]+,"GPSer(18:3(9Z,12Z,15Z)/21:0)",C45H82NO10P
850.55982,PS 41:6,[M+H]+,"GPSer(17:2(9Z,12Z)/24:4(5Z,8Z,11Z,14Z))",C47H80NO10P
