mz,id,ion,example,formula
650.30703,PS 25:5,[M+Na]+,"GPSer(3:0/22:5(4Z,7Z,10Z,13Z,16Z))",C31H50NO10P
650.37978,PC 25:4,[M+Na]+,"GPCho(5:0/20:4(5Z,8Z,11Z,14Z))",C33H58NO8P
650.37978,PE 28:4,[M+Na]+,"GPEtn(4:0/24:4(5Z,8Z,11Z,14Z))",C33H58NO8P
650.40333,PS 26:1,[M+H]+,GPSer(11:0/15:1(9Z)),C32H60NO10P
650.47608,PC 26:0,[M+H]+,GPCho(6:0/20:0),C34H68NO8P
650.47608,PE 29:0,[M+H]+,GPEtn(25:0/4:0),C34H68NO8P
650.48432,MGDG 25:0,[M+NH4]+,MGDG(18:0/7:0),C34H64O10
650.52071,MGDG 27:0,[M+NH4-CO]+,MGDG(15:0/12:0),C36H68O10
650.57201,DG 37:3,[M+NH4]+,DG(18:3/19:0/0:0),C40H72O5
651.39775,PA 29:0,[M+Na2-H]+,GPA(6:0/23:0),C32H63O8P
651.40017,PA 31:3,[M+Na]+,"GPA(11:0/20:3(5Z,8Z,11Z))",C34H61O8P
651.40841,MGDG 25:2,[M+Na]+,"MGDG(7:0/18:2(9E,12E))",C34H60O10
651.55365,DG 38:4,[M+Li]+,DG(20:3/18:1/0:0),C41H72O5
652.32266,PS 25:4,[M+Na]+,"GPSer(20:4(5Z,8Z,11Z,14Z)/5:0)",C31H52NO10P
652.39541,PC 25:3,[M+Na]+,"GPCho(20:3(8Z,11Z,14Z)/5:0)",C33H60NO8P
652.39541,PE 28:3,[M+Na]+,"GPEtn(10:0/18:3(6Z,9Z,12Z))",C33H60NO8P
652.39783,PC 27:6,[M+H]+,"GPCho(5:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C35H58NO8P
652.39783,PE 30:6,[M+H]+,"GPEtn(8:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C35H58NO8P
652.40607,MGDG 26:6,[M+NH4]+,"MGDG(4:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C35H54O10
652.41895,PS 26:0,[M+H]+,GPSer(19:0/7:0),C32H62NO10P
652.44245,MGDG 28:6,[M+NH4-CO]+,"MGDG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/6:0)",C37H58O10
652.49381,DG 38:9,[M+NH4]+,DG(18:4/20:5/0:0),C41H62O5
652.58765,DG 37:2,[M+NH4]+,DG(11:0/26:2/0:0),C40H74O5
653.3195,PA 30:6,[M+Na2-H]+,"GPA(8:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C33H53O8P
653.4158,PA 31:2,[M+Na]+,"GPA(5:0/26:2(5Z,9E))",C34H63O8P
653.42407,MGDG 25:1,[M+Na]+,MGDG(7:0/18:1(6Z)),C34H62O10
653.56929,DG 38:3,[M+Li]+,DG(18:1/20:2/0:0),C41H74O5
654.33828,PS 25:3,[M+Na]+,"GPSer(18:3(9Z,12Z,15Z)/7:0)",C31H54NO10P
654.34071,PS 27:6,[M+H]+,"GPSer(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/5:0)",C33H52NO10P
654.4111,PC 25:2,[M+Na]+,"GPCho(8:0/17:2(9Z,12Z))",C33H62NO8P
654.4111,PE 28:2,[M+Na]+,"GPEtn(18:2(6Z,9Z)/10:0)",C33H62NO8P
654.41346,PC 27:5,[M+H]+,"GPCho(22:5(7Z,10Z,13Z,16Z,19Z)/5:0)",C35H60NO8P
654.41346,PE 30:5,[M+H]+,"GPEtn(22:5(7Z,10Z,13Z,16Z,19Z)/8:0)",C35H60NO8P
654.42167,MGDG 26:5,[M+NH4]+,"MGDG(20:5(5Z,8Z,11Z,14Z,17Z)/6:0)",C35H56O10
654.44747,lysoPC 26:2,[M+Na]+,"PC(26:2(5E,9Z)/0:0)",C34H66NO7P
654.45809,MGDG 28:5,[M+NH4-CO]+,"MGDG(8:0/20:5(5Z,8Z,11Z,14Z,17Z))",C37H60O10
654.50945,DG 38:8,[M+NH4]+,DG(20:4/18:4/0:0),C41H64O5
654.60329,DG 37:1,[M+NH4]+,DG(23:0/14:1/0:0),C40H76O5
655.33518,PA 30:5,[M+Na2-H]+,"GPA(8:0/22:5(4Z,7Z,10Z,13Z,16Z))",C33H55O8P
655.43148,PA 31:1,[M+Na]+,GPA(11:0/20:1(13E)),C34H65O8P
655.43972,MGDG 25:0,[M+Na]+,MGDG(10:0/15:0),C34H64O10
655.47908,SM 29:1,[M-H+Na]+,SM(d15:1(4E)/14:0),C34H70N2O6P
655.58493,DG 38:2,[M+Li]+,DG(22:1/16:1/0:0),C41H76O5
656.35397,PS 25:2,[M+Na]+,"GPSer(18:2(6Z,9Z)/7:0)",C31H56NO10P
656.35633,PS 27:5,[M+H]+,"GPSer(5:0/22:5(7Z,10Z,13Z,16Z,19Z))",C33H54NO10P
656.42672,PC 25:1,[M+Na]+,GPCho(18:1(11Z)/7:0),C33H64NO8P
656.42672,PE 28:1,[M+Na]+,GPEtn(12:0/16:1(9Z)),C33H64NO8P
656.42915,PC 27:4,[M+H]+,"GPCho(20:4(5E,8E,11E,14E)/7:0)",C35H62NO8P
656.42915,PE 30:4,[M+H]+,"GPEtn(12:0/18:4(9E,11E,13E,15E))",C35H62NO8P
656.43737,MGDG 26:4,[M+NH4]+,"MGDG(8:0/18:4(9E,11E,13E,15E))",C35H58O10
656.4631,lysoPC 26:1,[M+Na]+,PC(26:1(5Z)/0:0),C34H68NO7P
656.4631,plasmenyl-PC 26:0,[M+Na]+,PC(P-16:0/10:0),C34H68NO7P
656.4631,plasmenyl-PE 29:0,[M+Na]+,PE(P-18:0/11:0),C34H68NO7P
656.47375,MGDG 28:4,[M+NH4-CO]+,"MGDG(8:0/20:4(7E,10E,13E,16E))",C37H62O10
656.52509,DG 38:7,[M+NH4]+,DG(20:4/18:3/0:0),C41H66O5
656.61893,DG 37:0,[M+NH4]+,DG(25:0/12:0/0:0),C40H78O5
657.35081,PA 30:4,[M+Na2-H]+,"GPA(12:0/18:4(9E,11E,13E,15E))",C33H57O8P
657.36147,MGDG 26:6,[M+Na]+,"MGDG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/4:0)",C35H54O10
657.44711,PA 31:0,[M+Na]+,GPA(25:0/6:0),C34H67O8P
657.49477,SM 29:0,[M-H+Na]+,SM(d19:0/10:0),C34H72N2O6P
657.50673,DG 39:8,[M+Li]+,DG(22:6/17:2/0:0),C42H66O5
657.60057,DG 38:1,[M+Li]+,DG(16:1/22:0/0:0),C41H78O5
658.36959,PS 25:1,[M+Na]+,GPSer(20:1(13Z)/5:0),C31H58NO10P
658.37202,PS 27:4,[M+H]+,"GPSer(9:0/18:4(6Z,9Z,12Z,15Z))",C33H56NO10P
658.44235,PC 25:0,[M+Na]+,GPCho(6:0/19:0),C33H66NO8P
658.44235,PE 28:0,[M+Na]+,GPEtn(14:0/14:0),C33H66NO8P
658.44477,PC 27:3,[M+H]+,"GPCho(7:0/20:3(8Z,11Z,14Z))",C35H64NO8P
658.44477,PE 30:3,[M+H]+,"GPEtn(10:0/20:3(8Z,11Z,14Z))",C35H64NO8P
658.45301,MGDG 26:3,[M+NH4]+,"MGDG(20:3(8Z,11Z,14Z)/6:0)",C35H60O10
658.47878,lysoPC 26:0,[M+Na]+,PC(26:0/0:0),C34H70NO7P
658.4894,MGDG 28:3,[M+NH4-CO]+,"MGDG(20:3(8Z,11Z,14Z)/8:0)",C37H64O10
658.51752,CerP 37:2,[M+H]+,CerP(d19:1(4E)/18:1(9Z)),C37H72NO6P
658.54073,DG 38:6,[M+NH4]+,DG(20:4/18:2/0:0),C41H68O5
659.3665,PA 30:3,[M+Na2-H]+,"GPA(10:0/20:3(5Z,8Z,11Z))",C33H59O8P
659.36886,PA 32:6,[M+Na]+,"GPA(10:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C35H57O8P
659.37707,MGDG 26:5,[M+Na]+,"MGDG(4:0/22:5(7Z,10Z,13Z,16Z,19Z))",C35H56O10
659.52237,DG 39:7,[M+Li]+,DG(17:2/22:5/0:0),C42H68O5
659.61621,DG 38:0,[M+Li]+,DG(18:0/20:0/0:0),C41H80O5
660.3641,PC 26:6,[M+Na]+,"GPCho(4:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C34H56NO8P
660.3641,PE 29:6,[M+Na]+,"GPEtn(7:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C34H56NO8P
660.38528,PS 25:0,[M+Na]+,GPSer(19:0/6:0),C31H60NO10P
660.38764,PS 27:3,[M+H]+,"GPSer(7:0/20:3(5Z,8Z,11Z))",C33H58NO10P
660.4604,PC 27:2,[M+H]+,"GPCho(7:0/20:2(5Z,8Z))",C35H66NO8P
660.4604,PE 30:2,[M+H]+,"GPEtn(20:2(11Z,14Z)/10:0)",C35H66NO8P
660.46867,MGDG 26:2,[M+NH4]+,"MGDG(22:2(13Z,16Z)/4:0)",C35H62O10
660.49683,plasmenyl-PE 31:1,[M+H]+,PE(P-16:0/15:1(9Z)),C36H70NO7P
660.50505,MGDG 28:2,[M+NH4-CO]+,"MGDG(26:2(5E,9Z)/2:0)",C37H66O10
660.53321,CerP 37:1,[M+H]+,CerP(d19:0/18:1(9Z)),C37H74NO6P
660.55637,DG 38:5,[M+NH4]+,DG(18:3/20:2/0:0),C41H70O5
661.38212,PA 30:2,[M+Na2-H]+,"GPA(18:2(9Z,12Z)/12:0)",C33H61O8P
661.38455,PA 32:5,[M+Na]+,"GPA(10:0/22:5(4Z,7Z,10Z,13Z,16Z))",C35H59O8P
661.39277,MGDG 26:4,[M+Na]+,"MGDG(24:4(5Z,8Z,11Z,14Z)/2:0)",C35H58O10
661.52844,SM 31:1,[M]+,SM(d19:1(4E)/12:0),C36H74N2O6P
661.53801,DG 39:6,[M+Li]+,DG(22:4/17:2/0:0),C42H70O5
662.30703,PS 26:6,[M+Na]+,"GPSer(4:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C32H50NO10P
662.37978,PC 26:5,[M+Na]+,"GPCho(4:0/22:5(4Z,7Z,10Z,13Z,16Z))",C34H58NO8P
662.37978,PE 29:5,[M+Na]+,"GPEtn(22:5(4Z,7Z,10Z,13Z,16Z)/7:0)",C34H58NO8P
662.40333,PS 27:2,[M+H]+,"GPSer(18:2(2E,4E)/9:0)",C33H60NO10P
662.47608,PC 27:1,[M+H]+,GPCho(18:1(6Z)/9:0),C35H68NO8P
662.47608,PE 30:1,[M+H]+,GPEtn(12:0/18:1(17Z)),C35H68NO8P
662.48432,MGDG 26:1,[M+NH4]+,MGDG(20:1(13Z)/6:0),C35H64O10
662.51246,plasmenyl-PC 28:0,[M+H]+,PC(P-20:0/8:0),C36H72NO7P
662.51246,plasmenyl-PE 31:0,[M+H]+,PE(P-20:0/11:0),C36H72NO7P
662.52071,MGDG 28:1,[M+NH4-CO]+,MGDG(13:0/15:1(9Z)),C37H68O10
662.54884,CerP 37:0,[M+H]+,CerP(d17:0/20:0),C37H76NO6P
662.57201,DG 38:4,[M+NH4]+,DG(18:0/20:4/0:0),C41H72O5
663.32037,DGDG 14:0,[M+Na]+,DGDG(10:0/4:0),C29H52O15
663.39775,PA 30:1,[M+Na2-H]+,GPA(10:0/20:1(11E)),C33H63O8P
663.40017,PA 32:4,[M+Na]+,"GPA(20:4(7E,10E,13E,16E)/12:0)",C35H61O8P
663.40841,MGDG 26:3,[M+Na]+,"MGDG(20:3(8Z,11Z,14Z)/6:0)",C35H60O10
663.54413,SM 31:0,[M]+,SM(d15:0/16:0),C36H76N2O6P
663.55365,DG 39:5,[M+Li]+,DG(22:5/17:0/0:0),C42H72O5
664.32266,PS 26:5,[M+Na]+,"GPSer(22:5(7Z,10Z,13Z,16Z,19Z)/4:0)",C32H52NO10P
664.39541,PC 26:4,[M+Na]+,"GPCho(4:0/22:4(7Z,10Z,13Z,16Z))",C34H60NO8P
664.39541,PE 29:4,[M+Na]+,"GPEtn(20:4(7E,10E,13E,16E)/9:0)",C34H60NO8P
664.41895,PS 27:1,[M+H]+,GPSer(18:1(7Z)/9:0),C33H62NO10P
664.49171,PC 27:0,[M+H]+,GPCho(12:0/15:0),C35H70NO8P
664.49171,PE 30:0,[M+H]+,GPEtn(6:0/24:0),C35H70NO8P
664.49997,MGDG 26:0,[M+NH4]+,MGDG(11:0/15:0),C35H66O10
664.53635,MGDG 28:0,[M+NH4-CO]+,MGDG(9:0/19:0),C37H70O10
664.58765,DG 38:3,[M+NH4]+,DG(18:2/20:1/0:0),C41H74O5
665.41343,PA 30:0,[M+Na2-H]+,GPA(4:0/26:0),C33H65O8P
665.4158,PA 32:3,[M+Na]+,"GPA(17:2(9Z,12Z)/15:1(9Z))",C35H63O8P
665.42407,MGDG 26:2,[M+Na]+,"MGDG(8:0/18:2(2E,4E))",C35H62O10
665.56929,DG 39:4,[M+Li]+,DG(24:4/15:0/0:0),C42H74O5
666.33828,PS 26:4,[M+Na]+,"GPSer(18:4(9E,11E,13E,15E)/8:0)",C32H54NO10P
666.4111,PC 26:3,[M+Na]+,"GPCho(8:0/18:3(9Z,12Z,15Z))",C34H62NO8P
666.4111,PE 29:3,[M+Na]+,"GPEtn(20:3(8Z,11Z,14Z)/9:0)",C34H62NO8P
666.41346,PC 28:6,[M+H]+,"GPCho(6:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C36H60NO8P
666.41346,PE 31:6,[M+H]+,"GPEtn(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/9:0)",C36H60NO8P
666.42167,MGDG 27:6,[M+NH4]+,"MGDG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/5:0)",C36H56O10
666.43458,PS 27:0,[M+H]+,GPSer(15:0/12:0),C33H64NO10P
666.45809,MGDG 29:6,[M+NH4-CO]+,"MGDG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/7:0)",C38H60O10
666.48627,CerP 38:5,[M+H]+,"CerP(d14:1(4E)/24:4(5Z,8Z,11Z,14Z))",C38H68NO6P
666.60329,DG 38:2,[M+NH4]+,DG(18:1/20:1/0:0),C41H76O5
667.33518,PA 31:6,[M+Na2-H]+,"GPA(9:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C34H55O8P
667.43148,PA 32:2,[M+Na]+,"GPA(26:2(5Z,9Z)/6:0)",C35H65O8P
667.43972,MGDG 26:1,[M+Na]+,MGDG(18:1(17Z)/8:0),C35H64O10
667.49109,DG 40:10,[M+Li]+,DG(22:6/18:4/0:0),C43H64O5
667.58493,DG 39:3,[M+Li]+,DG(22:2/17:1/0:0),C42H76O5
668.35397,PS 26:3,[M+Na]+,"GPSer(6:0/20:3(5Z,8Z,11Z))",C32H56NO10P
668.35633,PS 28:6,[M+H]+,"GPSer(6:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C34H54NO10P
668.42672,PC 26:2,[M+Na]+,"GPCho(18:2(9Z,11Z)/8:0)",C34H64NO8P
668.42672,PE 29:2,[M+Na]+,"GPEtn(18:2(9E,10E)/11:0)",C34H64NO8P
668.42915,PC 28:5,[M+H]+,"GPCho(20:5(5Z,8Z,11Z,14Z,17Z)/8:0)",C36H62NO8P
668.42915,PE 31:5,[M+H]+,"GPEtn(22:5(7Z,10Z,13Z,16Z,19Z)/9:0)",C36H62NO8P
668.43737,MGDG 27:5,[M+NH4]+,"MGDG(22:5(7Z,10Z,13Z,16Z,19Z)/5:0)",C36H58O10
668.4631,plasmenyl-PE 30:1,[M+Na]+,PE(P-16:0/14:1(9Z)),C35H68NO7P
668.47375,MGDG 29:5,[M+NH4-CO]+,"MGDG(7:0/22:5(4Z,7Z,10Z,13Z,16Z))",C38H62O10
668.5019,CerP 38:4,[M+H]+,"CerP(d14:0/24:4(5Z,8Z,11Z,14Z))",C38H70NO6P
668.52509,DG 39:8,[M+NH4]+,DG(22:6/17:2/0:0),C42H66O5
668.61893,DG 38:1,[M+NH4]+,DG(14:0/24:1/0:0),C41H78O5
669.35081,PA 31:5,[M+Na2-H]+,"GPA(9:0/22:5(7Z,10Z,13Z,16Z,19Z))",C34H57O8P
669.44711,PA 32:1,[M+Na]+,GPA(18:1(9Z)/14:0),C35H67O8P
669.45537,MGDG 26:0,[M+Na]+,MGDG(2:0/24:0),C35H66O10
669.49477,SM 30:1,[M-H+Na]+,SM(d18:1(4E)/12:0),C35H72N2O6P
669.50673,DG 40:9,[M+Li]+,DG(22:6/18:3/0:0),C43H66O5
669.60057,DG 39:2,[M+Li]+,DG(21:0/18:2/0:0),C42H78O5
670.36959,PS 26:2,[M+Na]+,"GPSer(17:2(9Z,12Z)/9:0)",C32H58NO10P
670.37202,PS 28:5,[M+H]+,"GPSer(20:5(5Z,8Z,11Z,14Z,17Z)/8:0)",C34H56NO10P
670.44235,PC 26:1,[M+Na]+,GPCho(8:0/18:1(4E)),C34H66NO8P
670.44235,PE 29:1,[M+Na]+,GPEtn(11:0/18:1(4E)),C34H66NO8P
670.44477,PC 28:4,[M+H]+,"GPCho(10:0/18:4(6Z,9Z,12Z,15Z))",C36H64NO8P
670.44477,PE 31:4,[M+H]+,"GPEtn(11:0/20:4(5E,8E,11E,14E))",C36H64NO8P
670.45301,MGDG 27:4,[M+NH4]+,"MGDG(18:4(9E,11E,13E,15E)/9:0)",C36H60O10
670.47878,plasmenyl-PC 27:0,[M+Na]+,PC(P-16:0/11:0),C35H70NO7P
670.47878,plasmenyl-PE 30:0,[M+Na]+,PE(P-20:0/10:0),C35H70NO7P
670.4894,MGDG 29:4,[M+NH4-CO]+,"MGDG(20:4(5Z,8Z,11Z,14Z)/9:0)",C38H64O10
670.54073,DG 39:7,[M+NH4]+,DG(22:6/17:1/0:0),C42H68O5
670.63457,DG 38:0,[M+NH4]+,DG(21:0/17:0/0:0),C41H80O5
671.3665,PA 31:4,[M+Na2-H]+,"GPA(9:0/22:4(7Z,10Z,13Z,16Z))",C34H59O8P
671.37707,MGDG 27:6,[M+Na]+,"MGDG(5:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C36H56O10
671.46279,PA 32:0,[M+Na]+,GPA(20:0/12:0),C35H69O8P
671.51039,SM 30:0,[M-H+Na]+,SM(d16:0/14:0),C35H74N2O6P
671.52237,DG 40:8,[M+Li]+,DG(22:6/18:2/0:0),C43H68O5
671.61621,DG 39:1,[M+Li]+,DG(22:1/17:0/0:0),C42H80O5
672.38528,PS 26:1,[M+Na]+,GPSer(24:1(15Z)/2:0),C32H60NO10P
672.38764,PS 28:4,[M+H]+,"GPSer(18:4(6Z,9Z,12Z,15Z)/10:0)",C34H58NO10P
672.45803,PC 26:0,[M+Na]+,GPCho(7:0/19:0),C34H68NO8P
672.45803,PE 29:0,[M+Na]+,GPEtn(3:0/26:0),C34H68NO8P
672.4604,PC 28:3,[M+H]+,"GPCho(8:0/20:3(8Z,11Z,14Z))",C36H66NO8P
672.4604,PE 31:3,[M+H]+,"GPEtn(20:3(5Z,8Z,11Z)/11:0)",C36H66NO8P
672.46867,MGDG 27:3,[M+NH4]+,"MGDG(18:3(6Z,9Z,12Z)/9:0)",C36H62O10
672.50505,MGDG 29:3,[M+NH4-CO]+,"MGDG(9:0/20:3(8Z,11Z,14Z))",C38H66O10
672.53321,CerP 38:2,[M+H]+,CerP(d14:1(4E)/24:1(15Z)),C38H74NO6P
672.55637,DG 39:6,[M+NH4]+,DG(17:0/22:6/0:0),C42H70O5
673.38212,PA 31:3,[M+Na2-H]+,"GPA(13:0/18:3(9Z,12Z,15Z))",C34H61O8P
673.38455,PA 33:6,[M+Na]+,"GPA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/11:0)",C36H59O8P
673.39277,MGDG 27:5,[M+Na]+,"MGDG(20:5(5Z,8Z,11Z,14Z,17Z)/7:0)",C36H58O10
673.52844,SM 32:2,[M]+,SM(d14:1(4E)/18:1(9Z)),C37H74N2O6P
673.53801,DG 40:7,[M+Li]+,DG(20:2/20:5/0:0),C43H70O5
673.63185,DG 39:0,[M+Li]+,DG(25:0/14:0/0:0),C42H82O5
674.37978,PC 27:6,[M+Na]+,"GPCho(5:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C35H58NO8P
674.37978,PE 30:6,[M+Na]+,"GPEtn(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/8:0)",C35H58NO8P
674.4009,PS 26:0,[M+Na]+,GPSer(19:0/7:0),C32H62NO10P
674.40333,PS 28:3,[M+H]+,"GPSer(8:0/20:3(5Z,8Z,11Z))",C34H60NO10P
674.47608,PC 28:2,[M+H]+,"GPCho(6:0/22:2(13Z,16Z))",C36H68NO8P
674.47608,PE 31:2,[M+H]+,GPEtn(16:1(7Z)/15:1(9Z)),C36H68NO8P
674.48432,MGDG 27:2,[M+NH4]+,"MGDG(7:0/20:2(11Z,14Z))",C36H64O10
674.51246,plasmenyl-PE 32:1,[M+H]+,PE(P-16:0/16:1(7Z)),C37H72NO7P
674.52071,MGDG 29:2,[M+NH4-CO]+,"MGDG(11:0/18:2(9Z,12Z))",C38H68O10
674.54884,CerP 38:1,[M+H]+,CerP(d14:1(4E)/24:0),C38H76NO6P
674.57201,DG 39:5,[M+NH4]+,DG(24:4/15:1/0:0),C42H72O5
675.39775,PA 31:2,[M+Na2-H]+,GPA(15:1(9Z)/16:1(9Z)),C34H63O8P
675.40017,PA 33:5,[M+Na]+,"GPA(15:1(9Z)/18:4(6Z,9Z,12Z,15Z))",C36H61O8P
675.40841,MGDG 27:4,[M+Na]+,"MGDG(24:4(5Z,8Z,11Z,14Z)/3:0)",C36H60O10
675.54413,SM 32:1,[M]+,SM(d16:1(4E)/16:0),C37H76N2O6P
675.55365,DG 40:6,[M+Li]+,DG(20:4/20:2/0:0),C43H72O5
676.32266,PS 27:6,[M+Na]+,"GPSer(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/5:0)",C33H52NO10P
676.39541,PC 27:5,[M+Na]+,"GPCho(5:0/22:5(4Z,7Z,10Z,13Z,16Z))",C35H60NO8P
676.39541,PE 30:5,[M+Na]+,"GPEtn(22:5(4Z,7Z,10Z,13Z,16Z)/8:0)",C35H60NO8P
676.41895,PS 28:2,[M+H]+,"GPSer(10:0/18:2(9Z,12Z))",C34H62NO10P
676.49171,PC 28:1,[M+H]+,GPCho(18:1(6Z)/10:0),C36H70NO8P
676.49171,PE 31:1,[M+H]+,GPEtn(13:0/18:1(4E)),C36H70NO8P
676.49997,MGDG 27:1,[M+NH4]+,MGDG(20:1(13E)/7:0),C36H66O10
676.52808,plasmenyl-PC 29:0,[M+H]+,PC(P-20:0/9:0),C37H74NO7P
676.52808,plasmenyl-PE 32:0,[M+H]+,PE(P-16:0/16:0),C37H74NO7P
676.53635,MGDG 29:1,[M+NH4-CO]+,MGDG(11:0/18:1(17Z)),C38H70O10
676.56452,CerP 38:0,[M+H]+,CerP(d16:0/22:0),C38H78NO6P
676.58765,DG 39:4,[M+NH4]+,DG(20:4/19:0/0:0),C42H74O5
677.33602,DGDG 15:0,[M+Na]+,DGDG(5:0/10:0),C30H54O15
677.41343,PA 31:1,[M+Na2-H]+,GPA(15:0/16:1(7Z)),C34H65O8P
677.4158,PA 33:4,[M+Na]+,"GPA(11:0/22:4(7Z,10Z,13Z,16Z))",C36H63O8P
677.42407,MGDG 27:3,[M+Na]+,"MGDG(18:3(9Z,12Z,15Z)/9:0)",C36H62O10
677.55975,SM 32:0,[M]+,SM(d16:0/16:0),C37H78N2O6P
677.56929,DG 40:5,[M+Li]+,DG(20:2/20:3/0:0),C43H74O5
678.33828,PS 27:5,[M+Na]+,"GPSer(5:0/22:5(7Z,10Z,13Z,16Z,19Z))",C33H54NO10P
678.4111,PC 27:4,[M+Na]+,"GPCho(7:0/20:4(5E,8E,11E,14E))",C35H62NO8P
678.4111,PE 30:4,[M+Na]+,"GPEtn(10:0/20:4(5E,8E,11E,14E))",C35H62NO8P
678.43458,PS 28:1,[M+H]+,GPSer(17:1(9Z)/11:0),C34H64NO10P
678.50739,PC 28:0,[M+H]+,GPCho(21:0/7:0),C36H72NO8P
678.50739,PE 31:0,[M+H]+,GPEtn(24:0/7:0),C36H72NO8P
678.50945,DG 40:10,[M+NH4]+,DG(22:6/18:4/0:0),C43H64O5
678.51563,MGDG 27:0,[M+NH4]+,MGDG(19:0/8:0),C36H68O10
678.55205,MGDG 29:0,[M+NH4-CO]+,MGDG(6:0/23:0),C38H72O10
678.60329,DG 39:3,[M+NH4]+,DG(19:0/20:3/0:0),C42H76O5
679.42906,PA 31:0,[M+Na2-H]+,GPA(16:0/15:0),C34H67O8P
679.43148,PA 33:3,[M+Na]+,"GPA(15:0/18:3(6Z,9Z,12Z))",C36H65O8P
679.43972,MGDG 27:2,[M+Na]+,"MGDG(18:2(6Z,9Z)/9:0)",C36H64O10
679.58493,DG 40:4,[M+Li]+,DG(20:0/20:4/0:0),C43H76O5
680.35397,PS 27:4,[M+Na]+,"GPSer(18:4(6Z,9Z,12Z,15Z)/9:0)",C33H56NO10P
680.42672,PC 27:3,[M+Na]+,"GPCho(9:0/18:3(9Z,12Z,15Z))",C35H64NO8P
680.42672,PE 30:3,[M+Na]+,"GPEtn(18:3(9Z,12Z,15Z)/12:0)",C35H64NO8P
680.42915,PC 29:6,[M+H]+,"GPCho(7:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C37H62NO8P
680.42915,PE 32:6,[M+H]+,"GPEtn(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/10:0)",C37H62NO8P
680.43737,MGDG 28:6,[M+NH4]+,"MGDG(6:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C37H58O10
680.45026,PS 28:0,[M+H]+,GPSer(14:0/14:0),C34H66NO10P
680.47375,MGDG 30:6,[M+NH4-CO]+,"MGDG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/8:0)",C39H62O10
680.5019,CerP 39:5,[M+H]+,"CerP(d15:1(4E)/24:4(5Z,8Z,11Z,14Z))",C39H70NO6P
680.52509,DG 40:9,[M+NH4]+,DG(20:5/20:4/0:0),C43H66O5
680.61893,DG 39:2,[M+NH4]+,DG(15:1/24:1/0:0),C42H78O5
681.35081,PA 32:6,[M+Na2-H]+,"GPA(10:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C35H57O8P
681.44711,PA 33:2,[M+Na]+,"GPA(26:2(5Z,9E)/7:0)",C36H67O8P
681.45537,MGDG 27:1,[M+Na]+,MGDG(16:1(9Z)/11:0),C36H66O10
681.60057,DG 40:3,[M+Li]+,DG(18:3/22:0/0:0),C43H78O5
682.36959,PS 27:3,[M+Na]+,"GPSer(18:3(6Z,9Z,12Z)/9:0)",C33H58NO10P
682.37202,PS 29:6,[M+H]+,"GPSer(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/7:0)",C35H56NO10P
682.44235,PC 27:2,[M+Na]+,"GPCho(7:0/20:2(11Z,14Z))",C35H66NO8P
682.44235,PE 30:2,[M+Na]+,"GPEtn(4:0/26:2(5Z,9Z))",C35H66NO8P
682.44477,PC 29:5,[M+H]+,"GPCho(22:5(7Z,10Z,13Z,16Z,19Z)/7:0)",C37H64NO8P
682.44477,PE 32:5,[M+H]+,"GPEtn(18:4(6Z,9Z,12Z,15Z)/14:1(9Z))",C37H64NO8P
682.45301,MGDG 28:5,[M+NH4]+,"MGDG(6:0/22:5(4Z,7Z,10Z,13Z,16Z))",C37H60O10
682.47878,plasmenyl-PE 31:1,[M+Na]+,PE(P-16:0/15:1(9Z)),C36H70NO7P
682.4894,MGDG 30:5,[M+NH4-CO]+,"MGDG(8:0/22:5(7Z,10Z,13Z,16Z,19Z))",C39H64O10
682.51752,CerP 39:4,[M+H]+,"CerP(d15:0/24:4(5Z,8Z,11Z,14Z))",C39H72NO6P
