HMDB_ID,id,formula,mz,charge,ion
HMDB0053977,"TG(20:3n6/22:5(7Z,10Z,13Z,16Z,19Z)/20:3n6)",C65H104O6,979.7760146,-1,[M-H]1-
HMDB0053978,"TG(20:3n6/22:5(7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))",C65H102O6,977.7603645,-1,[M-H]1-
HMDB0053982,"TG(20:3n6/22:5(7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0053984,"TG(20:3n6/22:5(7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z))",C65H102O6,977.7603645,-1,[M-H]1-
HMDB0053985,"TG(20:3n6/22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))",C65H100O6,975.7447145,-1,[M-H]1-
HMDB0053988,"TG(20:3n6/22:5(7Z,10Z,13Z,16Z,19Z)/o-18:0)",C63H108O5,943.8124001,-1,[M-H]1-
HMDB0053989,"TG(20:3n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3n6)",C65H102O6,977.7603645,-1,[M-H]1-
HMDB0053990,"TG(20:3n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))",C65H100O6,975.7447145,-1,[M-H]1-
HMDB0053996,"TG(20:3n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z))",C65H100O6,975.7447145,-1,[M-H]1-
HMDB0053997,"TG(20:3n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))",C65H98O6,973.7290644,-1,[M-H]1-
HMDB0054000,"TG(20:3n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/o-18:0)",C63H106O5,941.79675,-1,[M-H]1-
HMDB0054003,"TG(20:3n6/o-18:0/22:2(13Z,16Z))",C63H114O5,949.8593503,-1,[M-H]1-
HMDB0054005,"TG(20:3n6/o-18:0/22:5(4Z,7Z,10Z,13Z,16Z))",C63H108O5,943.8124001,-1,[M-H]1-
HMDB0054010,"TG(20:3n6/o-18:0/22:5(7Z,10Z,13Z,16Z,19Z))",C63H108O5,943.8124001,-1,[M-H]1-
HMDB0054011,"TG(20:3n6/o-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C63H106O5,941.79675,-1,[M-H]1-
HMDB0054015,"TG(20:4(5Z,8Z,11Z,14Z)/14:0/22:5(4Z,7Z,10Z,13Z,16Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0054020,"TG(20:4(5Z,8Z,11Z,14Z)/14:0/22:5(7Z,10Z,13Z,16Z,19Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0054041,"TG(20:4(5Z,8Z,11Z,14Z)/16:0/20:5(5Z,8Z,11Z,14Z,17Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0054044,"TG(20:4(5Z,8Z,11Z,14Z)/16:0/o-18:0)",C57H104O5,867.7811,-1,[M-H]1-
HMDB0054046,"TG(20:4(5Z,8Z,11Z,14Z)/18:0/22:2(13Z,16Z))",C63H110O6,961.8229648,-1,[M-H]1-
HMDB0054047,"TG(20:4(5Z,8Z,11Z,14Z)/18:0/22:4(7Z,10Z,13Z,16Z))",C63H106O6,957.7916647,-1,[M-H]1-
HMDB0054048,"TG(20:4(5Z,8Z,11Z,14Z)/18:0/22:5(4Z,7Z,10Z,13Z,16Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0054053,"TG(20:4(5Z,8Z,11Z,14Z)/18:0/22:5(7Z,10Z,13Z,16Z,19Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0054054,"TG(20:4(5Z,8Z,11Z,14Z)/18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0054056,"TG(20:4(5Z,8Z,11Z,14Z)/20:0/20:4(5Z,8Z,11Z,14Z))",C63H106O6,957.7916647,-1,[M-H]1-
HMDB0054062,"TG(20:4(5Z,8Z,11Z,14Z)/20:0/20:4(8Z,11Z,14Z,17Z))",C63H106O6,957.7916647,-1,[M-H]1-
